date,home_team,away_team,home_media_goals,home_media_shots_on_goal,home_media_possession,home_media_corners,away_media_goals,away_media_shots_on_goal,away_media_possession,away_media_corners
2021-06-06 00:00:00+00:00,RB Bragantino,Bahia,3.0,5.0,41.0,3.0,3.75,6.5,51.5,7.5
2021-06-06 00:00:00+00:00,Santos,Ceara,1.0,7.0,41.0,8.0,2.0,7.5,49.5,5.0
2021-06-06 14:00:00+00:00,Fluminense,Cuiaba,1.0,3.5,53.5,9.5,0.6666666666666666,5.666666666666667,48.333333333333336,9.0
2021-06-06 19:00:00+00:00,America Mineiro,Corinthians,0.5,7.0,48.25,4.75,1.0,8.5,54.5,9.0
2021-06-06 19:00:00+00:00,Fortaleza EC,Internacional,1.25,7.75,51.5,4.5,1.5,9.0,47.5,6.5
2021-06-06 21:15:00+00:00,Palmeiras,Chapecoense-sc,0.5,7.0,50.0,6.0,1.5,8.0,53.0,7.0
2021-06-06 21:15:00+00:00,Juventude,Atletico Paranaense,2.0,6.0,47.333333333333336,11.333333333333334,1.0,5.0,55.5,7.0
2021-06-06 23:30:00+00:00,Sport Recife,Atletico-MG,2.0,6.5,59.0,6.5,1.5,9.0,45.5,6.5
2021-06-08 19:30:00+00:00,Santos,Cianorte,1.6666666666666667,6.666666666666667,47.0,6.666666666666667,0.6666666666666666,5.666666666666667,52.666666666666664,4.666666666666667
2021-06-08 22:00:00+00:00,Sao Paulo,4 de Julho,0.6666666666666666,7.0,52.0,3.0,1.3333333333333333,7.666666666666667,51.666666666666664,4.0
2021-06-09 19:30:00+00:00,Vasco DA Gama,Boavista SC,1.3333333333333333,5.333333333333333,56.0,4.333333333333333,1.3333333333333333,8.0,48.666666666666664,5.0
2021-06-09 19:30:00+00:00,ABC,Chapecoense-sc,1.0,5.0,55.0,11.0,1.3333333333333333,8.0,54.666666666666664,6.0
2021-06-09 22:00:00+00:00,Palmeiras,CRB,1.3333333333333333,8.0,47.333333333333336,4.666666666666667,1.6666666666666667,4.666666666666667,49.0,7.666666666666667
2021-06-09 22:00:00+00:00,Juazeirense,Cruzeiro,2.0,5.0,49.333333333333336,8.333333333333334,1.0,4.666666666666667,47.0,5.333333333333333
2021-06-09 22:00:00+00:00,Bahia,Vila Nova,3.6,6.2,52.8,8.4,1.3333333333333333,6.666666666666667,49.666666666666664,8.0
2021-06-09 22:00:00+00:00,Atletico Paranaense,Avai,1.6666666666666667,4.333333333333333,54.0,5.666666666666667,1.3333333333333333,7.666666666666667,50.666666666666664,8.666666666666666
2021-06-10 00:30:00+00:00,Bragantino,Fluminense,1.6666666666666667,7.666666666666667,44.666666666666664,8.0,1.0,4.333333333333333,52.333333333333336,8.333333333333334
2021-06-10 00:30:00+00:00,Atletico Goianiense,Corinthians,2.0,6.0,44.0,5.6,1.0,8.8,55.2,8.2
2021-06-10 00:30:00+00:00,Criciuma,America Mineiro,0.3333333333333333,7.333333333333333,54.666666666666664,5.666666666666667,0.4,7.2,47.0,4.8
2021-06-10 18:30:00+00:00,Brasiliense,Gremio,0.0,5.0,59.0,10.0,2.0,9.0,43.0,8.5
2021-06-10 22:00:00+00:00,Ceara,Fortaleza EC,1.6666666666666667,6.666666666666667,46.666666666666664,4.333333333333333,2.0,7.8,52.6,4.2
2021-06-10 22:00:00+00:00,Coritiba,Flamengo,2.0,6.5,56.0,11.0,1.0,7.0,54.0,5.0
2021-06-10 22:00:00+00:00,Atletico-MG,remo,1.3333333333333333,8.666666666666666,47.0,8.0,1.0,4.0,54.333333333333336,6.666666666666667
2021-06-11 00:30:00+00:00,Internacional,Vitoria,1.3333333333333333,7.0,46.0,7.333333333333333,1.0,5.666666666666667,52.0,9.333333333333334
2021-06-12 22:00:00+00:00,Santos,Juventude,1.5,7.0,47.25,6.25,1.5,5.75,47.75,10.5
2021-06-12 22:00:00+00:00,Palmeiras,Corinthians,1.0,8.25,47.5,6.25,0.4,8.0,56.2,6.6
2021-06-13 19:00:00+00:00,Flamengo,America Mineiro,1.0,6.5,52.5,5.5,0.6,7.4,44.4,6.0
2021-06-13 19:00:00+00:00,Gremio,Atletico Paranaense,1.3333333333333333,7.333333333333333,46.666666666666664,8.0,1.5,5.5,52.75,6.75
2021-06-13 19:00:00+00:00,Atletico-MG,Sao Paulo,1.5,7.25,48.5,8.75,2.75,6.75,53.0,3.75
2021-06-13 23:30:00+00:00,Fortaleza EC,Sport Recife,2.4,7.0,53.0,5.2,1.3333333333333333,7.666666666666667,56.0,6.0
2021-06-13 23:30:00+00:00,Chapecoense-sc,Ceara,1.0,7.0,55.5,7.5,1.25,7.5,45.5,3.75
2021-06-13 23:30:00+00:00,Bahia,Internacional,2.4,5.8,53.2,6.8,1.25,6.75,47.75,7.5
2021-06-13 23:30:00+00:00,RB Bragantino,Fluminense,3.0,4.0,41.5,2.5,1.0,4.0,49.5,8.0
2021-06-16 22:00:00+00:00,Sao Paulo,Chapecoense-sc,2.2,6.4,54.4,5.0,0.8,6.6,52.8,7.6
2021-06-16 22:00:00+00:00,Internacional,Atletico-MG,1.2,7.0,46.6,7.4,1.4,7.6,46.8,7.6
2021-06-16 23:30:00+00:00,Corinthians,RB Bragantino,0.4,7.2,54.2,7.0,2.6666666666666665,4.0,43.0,3.6666666666666665
2021-06-17 00:30:00+00:00,Flamengo,Coritiba,1.3333333333333333,6.0,52.333333333333336,6.333333333333333,1.3333333333333333,5.333333333333333,53.666666666666664,10.0
2021-06-17 00:30:00+00:00,Juventude,Palmeiras,1.2,6.2,46.4,10.2,1.0,7.8,50.0,6.8
2021-06-17 19:00:00+00:00,Ceara,Bahia,1.0,7.2,48.0,4.6,1.6,6.8,55.8,7.0
2021-06-17 19:00:00+00:00,America Mineiro,Cuiaba,0.4,6.8,43.6,5.8,0.5,5.0,48.75,9.5
2021-06-17 22:00:00+00:00,Fluminense,Santos,1.2,4.2,50.4,8.4,1.2,6.2,49.6,6.6
2021-06-17 22:00:00+00:00,Atletico Goianiense,Fortaleza EC,1.4,6.2,43.2,7.4,2.4,6.4,54.0,4.6
2021-06-17 22:00:00+00:00,Sport Recife,Gremio,1.0,8.0,54.5,5.0,1.0,7.5,45.5,6.5
2021-06-20 00:00:00+00:00,Flamengo,RB Bragantino,1.5,6.5,52.25,6.0,2.5,5.5,46.5,4.0
2021-06-20 14:00:00+00:00,Palmeiras,America Mineiro,1.6,7.0,49.0,6.0,0.4,6.6,44.0,7.0
2021-06-20 19:00:00+00:00,Internacional,Ceara,0.8,6.2,49.4,7.6,0.6,6.8,46.6,4.8
2021-06-20 19:00:00+00:00,Bahia,Corinthians,1.4,6.8,54.6,6.2,0.6,6.4,51.8,6.4
2021-06-20 21:15:00+00:00,Fortaleza EC,Fluminense,2.0,6.6,55.4,5.6,1.4,5.2,51.0,7.2
2021-06-20 21:15:00+00:00,Atletico Paranaense,Atletico Goianiense,1.4,6.2,53.8,6.8,1.0,7.2,42.4,8.2
2021-06-20 21:15:00+00:00,Santos,Sao Paulo,1.2,6.2,50.4,6.0,2.4,5.6,52.6,6.2
2021-06-20 23:30:00+00:00,Juventude,Sport Recife,0.6,6.2,49.2,8.2,1.0,7.4,52.2,5.2
2021-06-21 23:00:00+00:00,Atletico-MG,Chapecoense-sc,1.4,7.8,45.4,8.0,1.0,6.2,53.0,7.6
2021-06-23 22:00:00+00:00,Sao Paulo,Cuiaba,2.0,5.2,53.8,7.4,0.4,5.8,50.4,8.4
2021-06-23 22:00:00+00:00,Flamengo,Fortaleza EC,1.6,6.6,50.6,5.8,2.0,6.0,53.4,7.6
2021-06-23 22:00:00+00:00,Atletico Goianiense,Fluminense,1.0,7.8,44.8,9.0,1.2,5.2,50.6,6.2
2021-06-23 22:00:00+00:00,RB Bragantino,Palmeiras,2.6,5.4,48.4,5.0,1.8,7.2,46.6,6.4
2021-06-24 19:00:00+00:00,America Mineiro,Juventude,0.6,7.6,47.2,5.8,0.6,5.2,48.0,8.0
2021-06-24 22:00:00+00:00,Chapecoense-sc,Internacional,0.6,6.0,52.4,8.2,0.8,6.6,47.8,7.6
2021-06-24 22:00:00+00:00,Ceara,Atletico-MG,0.6,6.2,48.8,5.8,1.2,6.6,48.6,7.8
2021-06-24 22:00:00+00:00,Corinthians,Sport Recife,0.6,5.6,49.8,6.6,0.6,8.8,51.2,5.2
2021-06-25 00:30:00+00:00,Bahia,Atletico Paranaense,1.2,6.6,55.2,4.6,1.6,6.8,50.6,6.6
2021-06-25 00:30:00+00:00,Gremio,Santos,0.8,6.6,47.8,5.6,1.2,5.2,51.6,5.0
2021-06-27 14:00:00+00:00,Juventude,Flamengo,0.4,4.6,49.6,7.4,1.8,7.2,48.0,7.2
2021-06-27 19:00:00+00:00,Fluminense,Corinthians,1.0,5.4,48.6,6.0,0.8,5.0,48.4,7.2
2021-06-27 23:00:00+00:00,Palmeiras,Bahia,1.4,6.8,47.2,8.0,1.0,7.6,51.8,2.6
2021-06-27 23:00:00+00:00,Gremio,Fortaleza EC,0.8,7.0,48.0,5.4,1.2,6.0,53.8,9.2
2021-06-27 23:00:00+00:00,Atletico Paranaense,Chapecoense-sc,1.6,7.0,52.0,6.6,0.6,6.4,49.8,8.0
2021-06-27 23:30:00+00:00,Ceara,Sao Paulo,0.8,6.8,52.4,7.0,2.4,4.8,52.2,8.0
2021-06-27 23:30:00+00:00,Santos,Atletico-MG,1.0,5.0,50.6,4.8,1.2,6.2,46.8,6.6
2021-06-27 23:30:00+00:00,America Mineiro,Internacional,0.8,7.2,48.0,5.6,1.0,8.0,50.2,6.6
2021-06-27 23:30:00+00:00,Sport Recife,Cuiaba,0.4,7.8,49.4,3.8,0.8,6.2,52.0,6.4
2021-06-28 23:00:00+00:00,Atletico Goianiense,RB Bragantino,0.8,7.2,48.4,9.4,2.6,5.2,51.2,5.6
2021-06-30 19:00:00+00:00,Fluminense,Atletico Paranaense,1.0,6.6,51.6,5.2,1.4,7.6,51.2,6.8
2021-06-30 19:00:00+00:00,Fortaleza EC,Chapecoense-sc,0.6,6.0,50.8,9.8,1.0,6.6,48.8,7.2
2021-06-30 22:00:00+00:00,Internacional,Palmeiras,1.0,8.8,51.2,6.6,2.0,6.4,48.6,7.2
2021-06-30 22:00:00+00:00,Bahia,America Mineiro,1.2,7.2,49.6,3.0,0.6,6.2,47.4,4.8
2021-06-30 23:30:00+00:00,Santos,Sport Recife,1.2,4.4,50.6,4.8,0.4,7.2,47.8,3.8
2021-07-01 00:30:00+00:00,Corinthians,Sao Paulo,1.0,5.8,45.2,8.0,0.8,5.2,49.8,7.2
2021-07-01 00:30:00+00:00,Juventude,Gremio,0.6,5.4,49.4,7.2,0.4,5.6,51.2,4.6
2021-07-01 19:00:00+00:00,RB Bragantino,Ceara,2.2,6.2,53.0,5.6,1.0,6.4,55.2,7.6
2021-07-01 22:00:00+00:00,Atletico-MG,Atletico Goianiense,0.8,7.0,46.6,6.2,0.4,6.2,50.0,9.8
2021-07-01 23:00:00+00:00,Cuiaba,Flamengo,0.8,7.0,53.6,5.0,1.6,8.0,48.2,6.4
2021-07-03 22:00:00+00:00,America Mineiro,Santos,1.4,7.0,49.2,5.8,1.2,4.8,50.0,5.0
2021-07-03 22:00:00+00:00,Atletico Paranaense,Fortaleza EC,2.0,7.6,50.4,7.2,1.0,5.8,51.4,10.8
2021-07-04 00:00:00+00:00,Corinthians,Internacional,0.8,7.0,47.8,8.0,1.0,7.8,51.6,6.2
2021-07-04 14:00:00+00:00,Chapecoense-sc,Bahia,1.4,6.2,49.8,8.0,1.8,6.2,46.6,4.0
2021-07-04 19:00:00+00:00,Sport Recife,Palmeiras,0.4,7.4,46.6,5.6,2.2,6.0,47.8,6.2
2021-07-04 19:00:00+00:00,Flamengo,Fluminense,1.6,8.0,49.8,6.8,0.8,6.8,51.8,5.2
2021-07-04 21:15:00+00:00,Sao Paulo,RB Bragantino,0.8,6.2,47.2,6.0,1.8,6.0,54.6,6.4
2021-07-04 21:15:00+00:00,Ceara,Juventude,1.0,5.8,52.8,6.8,1.0,5.2,52.6,6.6
2021-07-04 21:15:00+00:00,Cuiaba,Atletico-MG,0.4,7.6,50.8,4.8,1.4,6.6,50.2,7.0
2021-07-04 23:30:00+00:00,Gremio,Atletico Goianiense,0.4,5.4,49.0,5.0,0.6,6.2,50.4,8.4
2021-07-06 22:30:00+00:00,Santos,Atletico Paranaense,1.2,5.6,49.4,5.4,2.2,7.4,49.4,7.0
2021-07-07 21:00:00+00:00,Fortaleza EC,America Mineiro,1.2,5.8,49.6,9.8,1.8,7.0,52.0,4.2
2021-07-07 21:00:00+00:00,RB Bragantino,Cuiaba,1.8,5.6,52.4,6.0,0.4,8.8,51.0,4.0
2021-07-07 21:00:00+00:00,Bahia,Juventude,1.8,5.4,45.0,5.2,1.0,5.2,50.6,8.2
2021-07-07 22:00:00+00:00,Palmeiras,Gremio,1.8,6.8,48.4,6.2,0.4,5.2,51.2,6.6
2021-07-07 22:00:00+00:00,Atletico-MG,Flamengo,1.4,6.0,51.2,5.6,1.2,8.2,47.6,7.0
2021-07-07 22:15:00+00:00,Atletico Goianiense,Sport Recife,0.8,6.6,51.0,7.4,0.2,8.2,49.2,6.6
2021-07-08 00:30:00+00:00,Internacional,Sao Paulo,1.2,7.8,52.4,6.2,0.8,6.6,50.0,6.8
2021-07-08 00:30:00+00:00,Fluminense,Ceara,0.8,7.0,52.8,4.4,1.2,7.2,53.4,7.2
2021-07-09 00:00:00+00:00,Chapecoense-sc,Corinthians,1.2,6.0,49.0,7.6,0.8,6.8,47.2,9.0
2021-07-10 19:30:00+00:00,Palmeiras,Santos,1.8,6.6,50.4,6.4,1.2,6.0,49.2,6.4
2021-07-10 19:30:00+00:00,Gremio,Internacional,0.4,6.4,49.4,8.0,1.0,7.8,52.0,6.6
2021-07-10 20:30:00+00:00,Atletico Paranaense,RB Bragantino,2.0,6.6,51.8,7.8,1.4,6.0,52.2,5.6
2021-07-10 22:00:00+00:00,Sao Paulo,Bahia,1.2,6.8,50.6,7.6,2.0,5.6,43.4,5.6
2021-07-10 22:00:00+00:00,Sport Recife,Fluminense,0.4,8.0,50.2,7.6,0.6,7.6,50.8,5.8
2021-07-10 22:00:00+00:00,America Mineiro,Atletico-MG,1.6,6.2,50.8,5.2,1.6,7.0,49.0,6.0
2021-07-11 14:00:00+00:00,Juventude,Atletico Goianiense,0.8,6.4,52.8,8.0,0.8,6.4,47.6,7.4
2021-07-11 21:15:00+00:00,Flamengo,Chapecoense-sc,1.0,7.6,49.8,7.2,1.0,7.0,50.0,7.4
2021-07-11 21:15:00+00:00,Cuiaba,Ceara,0.6,8.0,48.6,5.0,1.0,7.0,53.6,6.4
2021-07-11 23:30:00+00:00,Fortaleza EC,Corinthians,1.8,5.8,50.0,9.0,1.0,6.8,47.8,8.2
2021-07-17 20:00:00+00:00,Ceara,Atletico Paranaense,1.0,6.0,52.0,5.2,2.2,7.0,52.0,6.6
2021-07-17 20:00:00+00:00,Sao Paulo,Fortaleza EC,1.0,7.0,50.2,6.8,1.8,5.0,49.4,8.0
2021-07-17 22:00:00+00:00,Corinthians,Atletico-MG,0.6,6.0,46.4,7.0,1.6,6.6,50.4,5.4
2021-07-18 00:00:00+00:00,Fluminense,Gremio,1.0,7.2,53.4,7.2,0.0,6.4,52.2,9.4
2021-07-18 14:00:00+00:00,Chapecoense-sc,Cuiaba,1.0,5.6,50.0,7.4,0.6,7.2,48.6,6.6
2021-07-18 19:00:00+00:00,Atletico Goianiense,Palmeiras,0.8,7.8,45.0,7.6,2.2,6.8,52.4,5.2
2021-07-18 21:15:00+00:00,Bahia,Flamengo,1.6,4.8,45.4,6.8,1.0,7.2,52.6,5.8
2021-07-18 23:30:00+00:00,RB Bragantino,Santos,1.2,7.2,49.2,5.2,1.2,6.0,47.4,6.8
2021-07-18 23:30:00+00:00,Internacional,Juventude,0.6,7.0,49.0,8.2,0.8,7.0,52.6,8.0
2021-07-19 23:00:00+00:00,America Mineiro,Sport Recife,1.4,5.6,52.0,5.0,0.4,8.2,49.8,8.0
2021-07-21 22:00:00+00:00,Cuiaba,Atletico Goianiense,1.2,7.2,45.2,7.8,0.8,8.4,44.6,8.2
2021-07-24 20:00:00+00:00,Gremio,America Mineiro,0.2,7.0,49.2,8.6,1.2,6.6,52.4,5.6
2021-07-24 22:00:00+00:00,Palmeiras,Fluminense,2.2,6.6,52.0,5.2,0.8,6.2,53.8,8.8
2021-07-25 14:00:00+00:00,Atletico-MG,Bahia,2.0,6.4,51.8,5.2,1.2,4.6,45.0,8.2
2021-07-25 19:00:00+00:00,Fortaleza EC,RB Bragantino,2.0,4.4,48.8,6.4,1.4,7.6,47.2,7.2
2021-07-25 19:00:00+00:00,Flamengo,Sao Paulo,2.0,5.8,53.6,7.4,0.8,6.8,53.4,8.4
2021-07-25 21:15:00+00:00,Atletico Paranaense,Internacional,1.8,6.6,51.4,7.6,0.6,6.8,48.8,7.2
2021-07-25 21:15:00+00:00,Santos,Atletico Goianiense,1.2,6.0,49.6,6.4,0.8,8.6,44.4,9.2
2021-07-25 23:30:00+00:00,Sport Recife,Ceara,0.6,8.4,52.6,8.0,1.0,6.0,52.0,5.4
2021-07-26 21:00:00+00:00,Juventude,Chapecoense-sc,0.6,7.0,51.6,7.6,1.0,5.2,51.2,6.8
2021-07-26 23:00:00+00:00,Cuiaba,Corinthians,1.6,6.2,49.0,7.4,0.6,5.2,45.8,8.0
2021-07-27 22:15:00+00:00,Criciuma,Fluminense,0.75,6.5,54.75,6.5,0.6,6.2,51.0,9.2
2021-07-28 00:30:00+00:00,Vitoria,Gremio,1.5,6.0,50.75,9.0,0.4,7.2,51.0,8.2
2021-07-28 19:30:00+00:00,Atletico Paranaense,Atletico Goianiense,1.4,6.6,54.4,6.8,0.8,7.4,47.0,9.2
2021-07-28 22:15:00+00:00,Santos,Juazeirense,1.2,6.4,46.4,5.8,1.75,5.5,50.5,7.5
2021-07-29 00:30:00+00:00,Sao Paulo,Vasco DA Gama,1.0,5.6,52.4,9.0,1.25,5.75,54.25,5.25
2021-07-29 00:30:00+00:00,Atletico-MG,Bahia,1.8,6.2,50.8,4.6,0.6,4.4,45.8,6.8
2021-07-29 19:30:00+00:00,Fortaleza EC,CRB,1.6,4.0,50.2,5.4,1.5,4.75,49.75,6.25
2021-07-29 23:00:00+00:00,Flamengo,ABC,2.6,6.8,53.2,6.4,1.5,5.0,51.75,8.75
2021-07-31 19:30:00+00:00,Fluminense,Criciuma,0.6,6.2,50.6,9.8,1.0,7.0,52.4,7.6
2021-07-31 22:00:00+00:00,Sao Paulo,Palmeiras,1.2,5.0,52.0,8.6,2.0,7.8,52.6,6.2
2021-07-31 23:00:00+00:00,Internacional,Cuiaba,0.6,7.8,48.0,8.0,1.8,5.2,47.6,7.0
2021-08-01 00:00:00+00:00,RB Bragantino,Gremio,1.4,8.0,44.4,7.4,1.0,7.4,50.2,7.8
2021-08-01 19:00:00+00:00,Corinthians,Flamengo,1.0,5.2,46.4,7.0,3.8,6.6,54.8,6.4
2021-08-01 19:00:00+00:00,Atletico-MG,Atletico Paranaense,2.0,6.0,50.0,4.4,1.4,5.8,53.0,7.6
2021-08-01 21:15:00+00:00,Bahia,Sport Recife,0.2,5.8,48.0,7.4,0.6,8.4,52.8,7.0
2021-08-01 21:15:00+00:00,Chapecoense-sc,Santos,0.6,6.2,51.6,6.8,2.0,5.4,46.8,7.2
2021-08-01 23:30:00+00:00,Atletico Goianiense,America Mineiro,0.8,7.6,49.8,9.0,0.6,5.6,50.6,6.0
2021-08-01 23:30:00+00:00,Ceara,Fortaleza EC,1.0,6.4,53.8,5.2,1.8,4.2,52.0,6.4
2021-08-03 22:00:00+00:00,Gremio,Vitoria,1.0,6.4,52.2,8.2,1.2,5.4,50.8,8.6
2021-08-04 19:30:00+00:00,CRB,Fortaleza EC,1.4,5.2,48.6,5.4,1.2,5.0,53.6,5.2
2021-08-04 22:15:00+00:00,Atletico Goianiense,Atletico Paranaense,0.8,7.0,50.2,8.2,1.2,6.8,51.4,8.4
2021-08-05 00:30:00+00:00,Vasco DA Gama,Sao Paulo,1.0,5.8,53.0,5.6,0.8,4.8,49.6,8.0
2021-08-05 00:30:00+00:00,Bahia,Atletico-MG,0.0,5.6,49.8,8.0,2.0,5.4,51.6,4.0
2021-08-05 22:15:00+00:00,Juazeirense,Santos,1.4,6.0,51.4,6.4,1.8,5.0,45.8,7.4
2021-08-06 00:30:00+00:00,ABC,Flamengo,1.2,4.8,51.6,8.8,4.2,7.2,54.8,5.6
2021-08-06 22:00:00+00:00,Sport Recife,RB Bragantino,0.8,7.4,51.0,5.8,1.2,7.0,43.6,7.8
2021-08-07 21:00:00+00:00,Atletico Paranaense,Sao Paulo,1.2,6.6,50.4,9.6,1.0,4.4,48.4,9.6
2021-08-08 00:00:00+00:00,Cuiaba,Bahia,1.6,6.2,49.4,7.2,0.4,6.2,51.6,7.2
2021-08-08 00:00:00+00:00,Palmeiras,Fortaleza EC,1.8,6.4,54.8,7.6,1.2,6.0,52.8,5.2
2021-08-08 19:00:00+00:00,America Mineiro,Fluminense,0.4,5.0,49.4,6.8,1.2,6.4,52.0,9.4
2021-08-08 19:00:00+00:00,Santos,Corinthians,1.4,5.2,48.8,7.2,1.0,6.4,47.4,5.8
2021-08-08 19:00:00+00:00,Juventude,Atletico-MG,0.4,7.6,50.4,8.0,2.0,6.2,50.0,4.2
2021-08-08 21:15:00+00:00,Ceara,Atletico Goianiense,1.2,5.2,52.4,5.6,1.2,6.4,49.8,8.0
2021-08-08 21:15:00+00:00,Flamengo,Internacional,4.0,6.6,53.8,5.0,0.4,8.2,45.2,7.8
2021-08-09 23:00:00+00:00,Gremio,Chapecoense-sc,1.2,6.4,49.2,7.8,0.6,6.6,52.4,7.0
2021-08-14 20:00:00+00:00,RB Bragantino,Juventude,1.0,7.0,40.6,8.4,0.6,8.4,50.6,8.0
2021-08-14 22:00:00+00:00,Atletico-MG,Palmeiras,2.0,5.6,48.2,5.0,1.8,7.4,56.2,8.2
2021-08-15 00:00:00+00:00,Sao Paulo,Gremio,1.4,4.4,46.2,8.6,1.4,5.8,48.8,8.0
2021-08-15 19:00:00+00:00,Corinthians,Ceara,0.8,6.8,49.2,4.6,1.2,5.4,52.0,5.2
2021-08-15 19:00:00+00:00,Flamengo,Sport Recife,3.0,7.0,50.4,4.8,0.6,7.2,51.0,5.2
2021-08-15 21:15:00+00:00,Cuiaba,Atletico Paranaense,1.4,6.6,47.6,6.4,1.4,7.8,51.8,8.8
2021-08-15 21:15:00+00:00,Fortaleza EC,Santos,1.6,7.2,53.0,5.2,1.0,5.2,45.0,7.6
2021-08-15 21:15:00+00:00,Bahia,Atletico Goianiense,0.6,6.6,55.0,7.0,1.0,6.2,50.8,7.4
2021-08-15 23:30:00+00:00,Internacional,Fluminense,1.2,7.2,48.6,7.6,0.8,6.8,50.6,9.0
